millis,stamp,datetime,motion
1000, 1494406971, 2125/165/0 15:31:7, Active
1999, 1494406971, 2125/165/0 15:31:7, Active
2999, 1494406971, 2125/165/0 15:31:7, Active
3999, 1494406971, 2125/165/0 15:31:7, Active
4999, 1494406971, 2125/165/0 15:31:7, Active
5999, 1494406971, 2125/165/0 15:31:7, Active
6999, 1494406971, 2125/165/0 15:31:7, Active
7999, 1494406971, 2125/165/0 15:31:7, Active
8999, 1494406971, 2125/165/0 15:31:7, Active
9999, 1494406971, 2125/165/0 15:31:7, Active
10999, 1494406971, 2125/165/0 15:31:7, Active
11999, 1494406971, 2125/165/0 15:31:7, Active
12999, 1494406971, 2125/165/0 15:31:7, Active
13999, 1494406971, 2125/165/0 15:31:7, Active
14999, 1494406971, 2125/165/0 15:31:7, Active
15998, 1494406971, 2125/165/0 15:31:7, Active
17000, 1494406971, 2125/165/0 15:31:7, Active
17999, 1494406971, 2125/165/0 15:31:7, Active
18999, 1494406971, 2125/165/0 15:31:7, Active
19999, 1494406971, 2125/165/0 15:31:7, Active
20999, 1494406971, 2125/165/0 15:31:7, Active
21999, 1494406971, 2125/165/0 15:31:7, Active
22999, 1494406971, 2125/165/0 15:31:7, Active
23999, 1494406971, 2125/165/0 15:31:7, Active
24999, 1494406971, 2125/165/0 15:31:7, Active
25999, 1494406971, 2125/165/0 15:31:7, Active
26999, 1494406971, 2125/165/0 15:31:7, Active
28000, 1494406971, 2125/165/0 15:31:7, Active
28999, 1494406971, 2125/165/0 15:31:7, Active
29999, 1494406971, 2125/165/0 15:31:7, Active
30999, 1494406971, 2125/165/0 15:31:7, Active
32000, 1494406971, 2125/165/0 15:31:7, Active
32999, 1494406971, 2125/165/0 15:31:7, Active
33999, 1494406971, 2125/165/0 15:31:7, Active
34999, 1494406971, 2125/165/0 15:31:7, Active
35999, 1494406971, 2125/165/0 15:31:7, Active
36999, 1494406971, 2125/165/0 15:31:7, Active
37999, 1494406971, 2125/165/0 15:31:7, Active
39000, 1494406971, 2125/165/0 15:31:7, Active
39999, 1494406971, 2125/165/0 15:31:7, Inactive
40999, 1494406971, 2125/165/0 15:31:7, Inactive
41999, 1494406971, 2125/165/0 15:31:7, Inactive
42999, 1494406971, 2125/165/0 15:31:7, Inactive
44000, 1494406971, 2125/165/0 15:31:7, Inactive
44999, 1494406971, 2125/165/0 15:31:7, Active
45999, 1494406971, 2125/165/0 15:31:7, Active
46999, 1494406971, 2125/165/0 15:31:7, Active
47998, 1494406971, 2125/165/0 15:31:7, Active
48999, 1494406971, 2125/165/0 15:31:7, Active
49999, 1494406971, 2125/165/0 15:31:7, Active
50999, 1494406971, 2125/165/0 15:31:7, Active
51999, 1494406971, 2125/165/0 15:31:7, Active
53000, 1494406971, 2125/165/0 15:31:7, Active
53999, 1494406971, 2125/165/0 15:31:7, Active
55000, 1494406971, 2125/165/0 15:31:7, Active
55999, 1494406971, 2125/165/0 15:31:7, Active
56999, 1494406971, 2125/165/0 15:31:7, Active
57999, 1494406971, 2125/165/0 15:31:7, Active
58999, 1494406971, 2125/165/0 15:31:7, Active
59999, 1494406971, 2125/165/0 15:31:7, Active
60999, 1494406971, 2125/165/0 15:31:7, Active
61999, 1494406971, 2125/165/0 15:31:7, Active
62999, 1494406971, 2125/165/0 15:31:7, Active
64000, 1494406971, 2125/165/0 15:31:7, Active
64999, 1494406971, 2125/165/0 15:31:7, Active
66000, 1494406971, 2125/165/0 15:31:7, Active
66999, 1494406971, 2125/165/0 15:31:7, Active
67999, 1494406971, 2125/165/0 15:31:7, Active
68999, 1494406971, 2125/165/0 15:31:7, Active
69999, 1494406971, 2125/165/0 15:31:7, Active
71000, 1494406971, 2125/165/0 15:31:7, Active
71999, 1494406971, 2125/165/0 15:31:7, Active
72999, 1494406971, 2125/165/0 15:31:7, Active
73999, 1494406971, 2125/165/0 15:31:7, Active
74999, 1494406971, 2125/165/0 15:31:7, Active
75999, 1494406971, 2125/165/0 15:31:7, Active
76999, 1494406971, 2125/165/0 15:31:7, Active
78000, 1494406971, 2125/165/0 15:31:7, Active
78999, 1494406971, 2125/165/0 15:31:7, Active
80001, 1494406971, 2125/165/0 15:31:7, Active
80999, 1494406971, 2125/165/0 15:31:7, Active
81999, 1494406971, 2125/165/0 15:31:7, Active
82999, 1494406971, 2125/165/0 15:31:7, Active
83999, 1494406971, 2125/165/0 15:31:7, Active
84999, 1494406971, 2125/165/0 15:31:7, Active
85999, 1494406971, 2125/165/0 15:31:7, Active
86999, 1494406971, 2125/165/0 15:31:7, Active
87999, 1494406971, 2125/165/0 15:31:7, Inactive
88999, 1494406971, 2125/165/0 15:31:7, Inactive
89999, 1494406971, 2125/165/0 15:31:7, Inactive
90999, 1494406971, 2125/165/0 15:31:7, Inactive
91999, 1494406971, 2125/165/0 15:31:7, Inactive
92999, 1494406971, 2125/165/0 15:31:7, Inactive
94000, 1494406971, 2125/165/0 15:31:7, Inactive
94999, 1494406971, 2125/165/0 15:31:7, Inactive
95998, 1494406971, 2125/165/0 15:31:7, Active
96999, 1494406971, 2125/165/0 15:31:7, Active
97999, 1494406971, 2125/165/0 15:31:7, Active
98999, 1494406971, 2125/165/0 15:31:7, Active
99998, 1494406971, 2125/165/0 15:31:7, Active
100999, 1494406971, 2125/165/0 15:31:7, Active
101999, 1494406971, 2125/165/0 15:31:7, Active
102999, 1494406971, 2125/165/0 15:31:7, Active
103999, 1494406971, 2125/165/0 15:31:7, Active
104999, 1494406971, 2125/165/0 15:31:7, Active
105999, 1494406971, 2125/165/0 15:31:7, Active
106999, 1494406971, 2125/165/0 15:31:7, Active
107999, 1494406971, 2125/165/0 15:31:7, Active
108999, 1494406971, 2125/165/0 15:31:7, Active
110000, 1494406971, 2125/165/0 15:31:7, Active
110999, 1494406971, 2125/165/0 15:31:7, Active
111998, 1494406971, 2125/165/0 15:31:7, Active
112999, 1494406971, 2125/165/0 15:31:7, Active
113999, 1494406971, 2125/165/0 15:31:7, Active
114999, 1494406971, 2125/165/0 15:31:7, Active
115999, 1494406971, 2125/165/0 15:31:7, Active
116999, 1494406971, 2125/165/0 15:31:7, Active
117999, 1494406971, 2125/165/0 15:31:7, Active
118999, 1494406971, 2125/165/0 15:31:7, Active
119999, 1494406971, 2125/165/0 15:31:7, Active
120999, 1494406971, 2125/165/0 15:31:7, Active
121999, 1494406971, 2125/165/0 15:31:7, Active
122999, 1494406971, 2125/165/0 15:31:7, Inactive
124000, 1494406971, 2125/165/0 15:31:7, Inactive
124999, 1494406971, 2125/165/0 15:31:7, Inactive
125999, 1494406971, 2125/165/0 15:31:7, Inactive
127000, 1494406971, 2125/165/0 15:31:7, Inactive
127998, 1494406971, 2125/165/0 15:31:7, Inactive
128999, 1494406971, 2125/165/0 15:31:7, Inactive
130000, 1494406971, 2125/165/0 15:31:7, Inactive
130999, 1494406971, 2125/165/0 15:31:7, Inactive
131999, 1494406971, 2125/165/0 15:31:7, Active
132999, 1494406971, 2125/165/0 15:31:7, Active
133999, 1494406971, 2125/165/0 15:31:7, Active
135000, 1494406971, 2125/165/0 15:31:7, Active
135999, 1494406971, 2125/165/0 15:31:7, Active
137000, 1494406971, 2125/165/0 15:31:7, Active
137999, 1494406971, 2125/165/0 15:31:7, Active
138999, 1494406971, 2125/165/0 15:31:7, Active
139999, 1494406971, 2125/165/0 15:31:7, Active
141000, 1494406971, 2125/165/0 15:31:7, Active
142000, 1494406971, 2125/165/0 15:31:7, Active
142999, 1494406971, 2125/165/0 15:31:7, Active
144001, 1494406971, 2125/165/0 15:31:7, Active
144999, 1494406971, 2125/165/0 15:31:7, Active
145998, 1494406971, 2125/165/0 15:31:7, Active
146999, 1494406971, 2125/165/0 15:31:7, Active
147999, 1494406971, 2125/165/0 15:31:7, Active
149000, 1494406971, 2125/165/0 15:31:7, Active
149999, 1494406971, 2125/165/0 15:31:7, Active
150999, 1494406971, 2125/165/0 15:31:7, Active
